id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id,current_study_year,current_semester,must_change_password
1,Sam Fisher,student@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1.0,First,A,False
2,Dr. Liat Levi,lecturer@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,,,,False
3,Alex Adam,admin@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,admin,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,,,,False
4,Noa Cohen,noa.cohen@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1.0,First,B,False
5,Daniel Mizrahi,daniel.mizrahi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1.0,Second,A,False
6,Maya Levi,maya.levi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1.0,Second,B,False
7,Dr. Amir Barak,amir.barak@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,,,,True
10,Sivan Sanvetu,sivan.sanvetu@ac.sce.ac.il,$2b$10$tiI0aB1JUFDYXTQowuoMluLErMYeou9qZEyZmyV9XQYicqVWMNAAG,student,active,"""2026-05-18T18:42:47.179Z""","""2026-05-18T18:43:08.693Z""",,1.0,Third,A,False
11,Dr. Dana Cohen,dana.cohen@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,,,,True
12,Tal Ben-Ami,tal.benami@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,2.0,First,A,False
13,Dr. Ron Shalev,ron.shalev@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,,,,True
